nr;professorType;researchInterest;headOf
5053;assistantProfessor;medicaid rickeys sideburns ;
5061;fullProfessor;larked rheological urinated ;
5062;associateProfessor;creates ;
5063;assistantProfessor;alcoholizing dianthus newsletters ;
5071;fullProfessor;tantric deloused ;
5072;associateProfessor;ozonic unblock ;
5073;assistantProfessor;ambitions aflutter ;
5081;fullProfessor;tsarism ;
5082;associateProfessor;thickety milers ;
5091;fullProfessor;follower ;
5092;associateProfessor;abbreviators hairstylist gumweeds ;
5102;associateProfessor;chlorination proofreads pustular ;
6001;fullProfessor;gymnastically befits ;
6002;associateProfessor;duffer transplanted ;
6003;assistantProfessor;elevon confounding migrants ;
6011;fullProfessor;nonpartisans fleshier ;6
6012;associateProfessor;hammerheads grubbily ;
6013;assistantProfessor;transmigratory massier sheepfolds ;
6021;fullProfessor;ekistics ;
6022;associateProfessor;fortis ;
6023;assistantProfessor;mistiming ;
6031;fullProfessor;nullities splashier feasant ;
6032;associateProfessor;jitters ;
6033;assistantProfessor;payolas hoedowns ;
6041;fullProfessor;imperiousness ;
6042;associateProfessor;tacksman ;
6043;assistantProfessor;umbers dwindled ;
6051;fullProfessor;confucians pools ;
6052;associateProfessor;boronic mealymouthed ;
6053;assistantProfessor;spinouts ;
6061;fullProfessor;bolsheviks ;
6062;associateProfessor;desisting dovish bristly ;
6063;assistantProfessor;webfoot amorists plastering ;
6071;fullProfessor;predusks ;
6072;associateProfessor;arborizes ;
6073;assistantProfessor;distributution ;
6081;fullProfessor;uselessness outchiding ;
6082;associateProfessor;congregants pensees winged ;
6091;fullProfessor;chesty lowed ;
6092;associateProfessor;wiles contentment escallop ;
7001;fullProfessor;inherence ;
7002;associateProfessor;underdrawers superimpose ;
7003;assistantProfessor;overinsistent ;
7011;fullProfessor;wallpapering perverter ;7
7012;associateProfessor;naughtily immunoreactive hubbies ;
7013;assistantProfessor;fellatrice ;
7021;fullProfessor;specifics microclimatology ;
7022;associateProfessor;lobbies dimwits rebilled ;
7023;assistantProfessor;pailful greaser bonnier ;
7031;fullProfessor;motorizes ;
7032;associateProfessor;pitons soothers ;
7033;assistantProfessor;pheromones seizable ;
7041;fullProfessor;penalization ;
7042;associateProfessor;aptitudes ;
7043;assistantProfessor;gleeman pekoes reprieves ;
7051;fullProfessor;vicennial telecommunication unperturbable ;
7052;associateProfessor;reseeding nam ;
7053;assistantProfessor;socialists hysterical ;
7061;fullProfessor;crossbreeding ;
7062;associateProfessor;earldoms infrequency ;
7063;assistantProfessor;pearlier versicles braveness ;
7072;associateProfessor;espresso hypocenters ;
7073;assistantProfessor;oleanders gyms ;
7082;associateProfessor;footsoreness ;
7083;assistantProfessor;broadly ;
7092;associateProfessor;exposal ;
7093;assistantProfessor;camphorates vinca caverned ;
7102;associateProfessor;breeders radiobroadcaster chapfallen ;
7112;associateProfessor;unordained colorings appeasement ;
7122;associateProfessor;notching inflator oversea ;
7132;associateProfessor;fatly ;
8001;fullProfessor;gunslingers ozonic replants ;
8002;associateProfessor;levitates indecency triumvirates ;
8003;assistantProfessor;demineralization foilsmen ;
8011;fullProfessor;marzipan tsunamic dads ;
8012;associateProfessor;gimballing ;
8013;assistantProfessor;spillers ;
8021;fullProfessor;bryony lackeys ;
8022;associateProfessor;unpardonably ;
8023;assistantProfessor;packing ;
8031;fullProfessor;outfighting calumniating promonarchists ;8
8032;associateProfessor;novena doffers ;
8033;assistantProfessor;understandings bakeshops eau ;
8041;fullProfessor;lacquerers lisping ;
8042;associateProfessor;eyewitnesses jazzers unreelers ;
8043;assistantProfessor;plurally doomster ;
8051;fullProfessor;sickliness ;
8052;associateProfessor;innocently semitranslucent clustery ;
8053;assistantProfessor;entailed ;
8061;fullProfessor;meres cosponsoring ;
8062;associateProfessor;tramlines ;
8063;assistantProfessor;armouring chemotherapies ;
8071;fullProfessor;mantlet ;
8072;associateProfessor;captions terminating laboratories ;
8073;assistantProfessor;radiotelegraphs rowdiest scarfing ;
8081;fullProfessor;embouchures loadings joist ;
8082;associateProfessor;unctuosity carousingly plankings ;
8083;assistantProfessor;rhetors nudniks ;
8092;associateProfessor;games ;
8093;assistantProfessor;electrocuting enwrap ;
8102;associateProfessor;toters clarifiers ;
8103;assistantProfessor;coitus egomaniac subphylum ;
9001;fullProfessor;fungicides ceding ;9
9002;associateProfessor;gabardines ;
9003;assistantProfessor;throwing ;
9011;fullProfessor;bruskly barnstormed gusting ;
9012;associateProfessor;lemmings trisects ;
9013;assistantProfessor;reappraising ;
9021;fullProfessor;soughing ;
9022;associateProfessor;bops crowbars inconvertibilities ;
9023;assistantProfessor;jeopardous ;
9031;fullProfessor;vagueness precessions ;
9032;associateProfessor;disarmers eschewer ;
9033;assistantProfessor;follower capybaras dazes ;
9041;fullProfessor;outdrew ;
9042;associateProfessor;warmheartedness lumpiest loveless ;
9043;assistantProfessor;confederative plashiest parasitization ;
9051;fullProfessor;hampshiremen swoopers ;
9052;associateProfessor;anointments plutonism ;
9053;assistantProfessor;spinate despiteful ;
9061;fullProfessor;viscid ;
9062;associateProfessor;salinas gainsay ;
9063;assistantProfessor;sufferable ;
9072;associateProfessor;palpability rankles racetracks ;
9073;assistantProfessor;procuress meads atriums ;
9082;associateProfessor;shiftily devisers ;
9083;assistantProfessor;discernment concisest ;
9092;associateProfessor;distractedly intertangling earlships ;
9093;assistantProfessor;occupationally gloamings cashbooks ;
9103;assistantProfessor;ratable trays bowleg ;
10001;fullProfessor;hajis incinerated summarization ;
10002;associateProfessor;arabians ;
10003;assistantProfessor;reaccustoming resealed ;
10011;fullProfessor;diadems ;
10012;associateProfessor;ikebana ;
10013;assistantProfessor;cutlases cerated racecourse ;
10021;fullProfessor;defecating metricizing ;
10022;associateProfessor;chaperoning causeys sacked ;
10023;assistantProfessor;redbugs loudens ;
10031;fullProfessor;cycads ab chancellorship ;
10032;associateProfessor;closeted foozlers ;
10033;assistantProfessor;phototrophic horrors dragooning ;
10041;fullProfessor;infirms ;
10042;associateProfessor;estranges ;
10043;assistantProfessor;sources spirally ;
10051;fullProfessor;binding hexylresorcinol tonger ;10
10052;associateProfessor;galvanometric cholla segue ;
10053;assistantProfessor;snowslide loathsomely trashily ;
10061;fullProfessor;junketing ;
10062;associateProfessor;fifers implorer ;
10063;assistantProfessor;saggiest footy needles ;
10072;associateProfessor;annotator ;
10073;assistantProfessor;quiveringly ;
10082;associateProfessor;digamy ;
10083;assistantProfessor;wartimes privets flashforwards ;
10092;associateProfessor;cognises girlfriends ampulla ;
10093;assistantProfessor;phasic hoarier gristle ;
10102;associateProfessor;undesigned unacceptably ;
10103;assistantProfessor;interludes precipices overweigh ;
11001;fullProfessor;chiders solvency switchable ;
11002;associateProfessor;sidepieces stockbrokerage ;
11003;assistantProfessor;cloisonne legionaries physics ;
11011;fullProfessor;elasticizes prearming planish ;11
11012;associateProfessor;oilier reglazed ;
11013;assistantProfessor;unexpressive webless ;
11021;fullProfessor;babies ;
11022;associateProfessor;ulceration ;
11023;assistantProfessor;frustration fissioning ;
11031;fullProfessor;pharisaically constitutes philharmonics ;
11032;associateProfessor;repatriating reproducers ;
11033;assistantProfessor;spinally ;
11041;fullProfessor;mineralize rosets ;
11042;associateProfessor;ploying editorship razee ;
11043;assistantProfessor;sherif ;
11051;fullProfessor;dissepimental hominy softy ;
11052;associateProfessor;implicitness ;
11053;assistantProfessor;deforests ;
11061;fullProfessor;typographies richest wisconsinites ;
11062;associateProfessor;withdrawer ;
11063;assistantProfessor;stringiness electrocute shunners ;
11071;fullProfessor;jessed ;
11072;associateProfessor;misbills blackjacked sequences ;
11073;assistantProfessor;cabmen ;
11082;associateProfessor;doused ;
11083;assistantProfessor;verdantly bleakish novelization ;
11092;associateProfessor;photophobia ;
11093;assistantProfessor;obeahs mainframe redecorated ;
11102;associateProfessor;modulative originally satyric ;
11103;assistantProfessor;rapturousness rooty cloyed ;
11112;associateProfessor;piped ;
11122;associateProfessor;mashes ;
11132;associateProfessor;holistic ;
12001;fullProfessor;essayists bottles trusser ;
12002;associateProfessor;linnet artistries progenitors ;
12003;assistantProfessor;distorter unripely ;
12011;fullProfessor;truer ;
12012;associateProfessor;freeload wheelman ;
12013;assistantProfessor;coalitionist ;
12021;fullProfessor;mongeese reeling ;12
12022;associateProfessor;condescended monocled ;
12023;assistantProfessor;tortuously ;
12031;fullProfessor;sawbucks ;
12032;associateProfessor;charbroils domineers ;
12033;assistantProfessor;grayest ;
12041;fullProfessor;preoccupied decimating ;
12042;associateProfessor;tipper saccharinely unarrested ;
12043;assistantProfessor;atypical ;
12051;fullProfessor;birches ;
12052;associateProfessor;kremlinologists ;
12053;assistantProfessor;fearlessly mishaps scuttles ;
12061;fullProfessor;housetop standardbearer lurer ;
12062;associateProfessor;nonresistant restorer citer ;
12063;assistantProfessor;neuropathy precontrive juicer ;
12071;fullProfessor;rufflike streptococcic extirpations ;
12072;associateProfessor;docudramas ;
12073;assistantProfessor;knickerbockers grittily ;
12081;fullProfessor;equates painlessly ;
12082;associateProfessor;impoverisher indianan ;
12083;assistantProfessor;bloodstained ;
12092;associateProfessor;neoterics ;
12093;assistantProfessor;pasteurize empennages inflictive ;
12102;associateProfessor;psychologically daemonic ;
12103;assistantProfessor;howdah yours enravish ;
13001;fullProfessor;secretor birding ;
13002;associateProfessor;roisters oblongata remelted ;
13003;assistantProfessor;secundines ;
13011;fullProfessor;protrudes missort ;
13012;associateProfessor;bares exobiological ;
13013;assistantProfessor;bypassed ;
13021;fullProfessor;prescientific ;
13022;associateProfessor;damager ;
13023;assistantProfessor;productively unprepossessing itemized ;
13031;fullProfessor;statures malls ;
13032;associateProfessor;routeman militiaman ;
13033;assistantProfessor;libeler blackballed biosensor ;
13041;fullProfessor;compared chooses ;
13042;associateProfessor;cosecant sleeping ;
13043;assistantProfessor;infinitesimally gallingly pressor ;
13051;fullProfessor;nippers ;
13052;associateProfessor;epigraphic pinning ;
13053;assistantProfessor;subassociation ;
13061;fullProfessor;freeloading hackled aphoristic ;
13062;associateProfessor;blackbirds editorialization ;
13063;assistantProfessor;crookeries ;
13071;fullProfessor;ceca emerging ;13
13072;associateProfessor;heaving intransigently ;
13073;assistantProfessor;browniest ;
13082;associateProfessor;antidepressants ;
13083;assistantProfessor;blanker nectarines ;
13092;associateProfessor;rows ;
13093;assistantProfessor;whitefish zoning ;
13102;associateProfessor;conditionals preexaminations lessons ;
13103;assistantProfessor;woozy trameled ;
13112;associateProfessor;kinematograph ;
13122;associateProfessor;genitors misjudgment ;
13132;associateProfessor;launcher bednights murmuring ;
14001;fullProfessor;seiners samoan hispanics ;
14002;associateProfessor;malawians phonogrammic ;
14003;assistantProfessor;waterpower arthritic ;
14011;fullProfessor;outdistances nettlers ;
14012;associateProfessor;pancaking tussocky disgorge ;
14013;assistantProfessor;gyving ;
14021;fullProfessor;steppes ;
14022;associateProfessor;benchmarked interrogatories ;
14023;assistantProfessor;fidgeting archimandrite ;
14031;fullProfessor;backwashes ;
14032;associateProfessor;viol ;
14033;assistantProfessor;citer shreds moonset ;
14041;fullProfessor;birthrates ;
14042;associateProfessor;husk recapturing ;
14043;assistantProfessor;strips expecting devoutness ;
14051;fullProfessor;harborless peopler pointed ;
14052;associateProfessor;draggier ;
14053;assistantProfessor;leverets soupiest truncates ;
14061;fullProfessor;legislators custodians obeyer ;14
14062;associateProfessor;mailers spurning progovernment ;
14063;assistantProfessor;preplanning ;
14072;associateProfessor;exhibitant impeached ;
14073;assistantProfessor;surfaces hefting ;
14082;associateProfessor;rollover ;
14092;associateProfessor;picks tatterdemalion ;
14102;associateProfessor;vertexes worthed ;
14112;associateProfessor;meetings minicar maladies ;
