"nr";"professorType";"researchInterest";"headOf"
3061;"fullProfessor";"unconventional inkless hermitage ";0
3062;"associateProfessor";"bowdlerizing ";0
3063;"assistantProfessor";"riveting nonracial ";0
3071;"fullProfessor";"vexatiousness ";0
3072;"associateProfessor";"restrictionist megabucks abbotships ";0
3073;"assistantProfessor";"places ";0
3081;"fullProfessor";"passkeys intertwined sirs ";0
3082;"associateProfessor";"untractable completing piezometric ";0
3083;"assistantProfessor";"octanes miggs argyll ";0
3092;"associateProfessor";"razzed endowers ";0
3093;"assistantProfessor";"staffed sendable ";0
3102;"associateProfessor";"arsonist corer ";0
3112;"associateProfessor";"reinscribes compositors imploration ";0
4001;"fullProfessor";"aquarists keypunching gleanings ";0
4002;"associateProfessor";"thrashes harmonizer cushy ";0
4003;"assistantProfessor";"underlayer ";0
4011;"fullProfessor";"usurped diversities ";0
4012;"associateProfessor";"unobscured postboys paynims ";0
4013;"assistantProfessor";"pastorate succinctness ";0
4021;"fullProfessor";"scratching governmental ";0
4022;"associateProfessor";"stridden ";0
4023;"assistantProfessor";"rehammered ";0
4031;"fullProfessor";"snowcapped vegetative ";4
4032;"associateProfessor";"undershot wagerers ";0
4033;"assistantProfessor";"sappiest mexicans metricates ";0
4041;"fullProfessor";"beelike squaws cellaret ";0
4042;"associateProfessor";"leaseholders gnus seriousness ";0
4043;"assistantProfessor";"notebooks lunes batholithic ";0
4051;"fullProfessor";"gunsmiths ";0
4052;"associateProfessor";"kaliphs ";0
4053;"assistantProfessor";"continuable rehears ";0
4061;"fullProfessor";"inquiring shellacker lexicographical ";0
4062;"associateProfessor";"trimming overexpand ";0
4063;"assistantProfessor";"sharkskin curls loafed ";0
4072;"associateProfessor";"incidently ";0
4073;"assistantProfessor";"spiffier ";0
4082;"associateProfessor";"greenly quisling ";0
4083;"assistantProfessor";"unliveable provender turning ";0
4092;"associateProfessor";"frilliness lignified feminizing ";0
4093;"assistantProfessor";"fallers ";0
5001;"fullProfessor";"prickliest turbofans starlit ";0
5002;"associateProfessor";"announcing tragically hiking ";0
5003;"assistantProfessor";"hexagrams restyles ";0
5011;"fullProfessor";"ammos sandwiches ";0
5012;"associateProfessor";"pluckily slighter ";0
5013;"assistantProfessor";"demographies ";0
5021;"fullProfessor";"mammie ";0
5022;"associateProfessor";"sitters woesome basifier ";0
5023;"assistantProfessor";"roundly aptitudes evolvements ";0
5031;"fullProfessor";"checkbooks ";0
5032;"associateProfessor";"stemmed charbroil cheerfulness ";0
5033;"assistantProfessor";"temporality preascertain tautogs ";0
5041;"fullProfessor";"peritonitic ";5
5042;"associateProfessor";"irons jerker inoffensiveness ";0
5043;"assistantProfessor";"amounted ";0
5051;"fullProfessor";"hierarchies daydreamed manubriums ";0
5052;"associateProfessor";"unarm ";0
5053;"assistantProfessor";"medicaid rickeys sideburns ";0
5061;"fullProfessor";"larked rheological urinated ";0
5062;"associateProfessor";"creates ";0
5063;"assistantProfessor";"alcoholizing dianthus newsletters ";0
5071;"fullProfessor";"tantric deloused ";0
5072;"associateProfessor";"ozonic unblock ";0
5073;"assistantProfessor";"ambitions aflutter ";0
5081;"fullProfessor";"tsarism ";0
5082;"associateProfessor";"thickety milers ";0
5091;"fullProfessor";"follower ";0
5092;"associateProfessor";"abbreviators hairstylist gumweeds ";0
5102;"associateProfessor";"chlorination proofreads pustular ";0
6001;"fullProfessor";"gymnastically befits ";0
6002;"associateProfessor";"duffer transplanted ";0
6003;"assistantProfessor";"elevon confounding migrants ";0
6011;"fullProfessor";"nonpartisans fleshier ";6
6012;"associateProfessor";"hammerheads grubbily ";0
6013;"assistantProfessor";"transmigratory massier sheepfolds ";0
6021;"fullProfessor";"ekistics ";0
6022;"associateProfessor";"fortis ";0
6023;"assistantProfessor";"mistiming ";0
6031;"fullProfessor";"nullities splashier feasant ";0
6032;"associateProfessor";"jitters ";0
6033;"assistantProfessor";"payolas hoedowns ";0
6041;"fullProfessor";"imperiousness ";0
6042;"associateProfessor";"tacksman ";0
6043;"assistantProfessor";"umbers dwindled ";0
6051;"fullProfessor";"confucians pools ";0
6052;"associateProfessor";"boronic mealymouthed ";0
6053;"assistantProfessor";"spinouts ";0
6061;"fullProfessor";"bolsheviks ";0
6062;"associateProfessor";"desisting dovish bristly ";0
6063;"assistantProfessor";"webfoot amorists plastering ";0
6071;"fullProfessor";"predusks ";0
6072;"associateProfessor";"arborizes ";0
6073;"assistantProfessor";"distributution ";0
6081;"fullProfessor";"uselessness outchiding ";0
6082;"associateProfessor";"congregants pensees winged ";0
6091;"fullProfessor";"chesty lowed ";0
6092;"associateProfessor";"wiles contentment escallop ";0
7001;"fullProfessor";"inherence ";0
7002;"associateProfessor";"underdrawers superimpose ";0
7003;"assistantProfessor";"overinsistent ";0
7011;"fullProfessor";"wallpapering perverter ";7
7012;"associateProfessor";"naughtily immunoreactive hubbies ";0
7013;"assistantProfessor";"fellatrice ";0
7021;"fullProfessor";"specifics microclimatology ";0
7022;"associateProfessor";"lobbies dimwits rebilled ";0
7023;"assistantProfessor";"pailful greaser bonnier ";0
7031;"fullProfessor";"motorizes ";0
7032;"associateProfessor";"pitons soothers ";0
7033;"assistantProfessor";"pheromones seizable ";0
7041;"fullProfessor";"penalization ";0
7042;"associateProfessor";"aptitudes ";0
7043;"assistantProfessor";"gleeman pekoes reprieves ";0
7051;"fullProfessor";"vicennial telecommunication unperturbable ";0
7052;"associateProfessor";"reseeding nam ";0
7053;"assistantProfessor";"socialists hysterical ";0
7061;"fullProfessor";"crossbreeding ";0
7062;"associateProfessor";"earldoms infrequency ";0
7063;"assistantProfessor";"pearlier versicles braveness ";0
7072;"associateProfessor";"espresso hypocenters ";0
7073;"assistantProfessor";"oleanders gyms ";0
7082;"associateProfessor";"footsoreness ";0
7083;"assistantProfessor";"broadly ";0
7092;"associateProfessor";"exposal ";0
7093;"assistantProfessor";"camphorates vinca caverned ";0
7102;"associateProfessor";"breeders radiobroadcaster chapfallen ";0
7112;"associateProfessor";"unordained colorings appeasement ";0
7122;"associateProfessor";"notching inflator oversea ";0
7132;"associateProfessor";"fatly ";0
8001;"fullProfessor";"gunslingers ozonic replants ";0
8002;"associateProfessor";"levitates indecency triumvirates ";0
8003;"assistantProfessor";"demineralization foilsmen ";0
8011;"fullProfessor";"marzipan tsunamic dads ";0
8012;"associateProfessor";"gimballing ";0
8013;"assistantProfessor";"spillers ";0
8021;"fullProfessor";"bryony lackeys ";0
8022;"associateProfessor";"unpardonably ";0
8023;"assistantProfessor";"packing ";0
8031;"fullProfessor";"outfighting calumniating promonarchists ";8
8032;"associateProfessor";"novena doffers ";0
8033;"assistantProfessor";"understandings bakeshops eau ";0
8041;"fullProfessor";"lacquerers lisping ";0
8042;"associateProfessor";"eyewitnesses jazzers unreelers ";0
8043;"assistantProfessor";"plurally doomster ";0
8051;"fullProfessor";"sickliness ";0
8052;"associateProfessor";"innocently semitranslucent clustery ";0
8053;"assistantProfessor";"entailed ";0
8061;"fullProfessor";"meres cosponsoring ";0
8062;"associateProfessor";"tramlines ";0
8063;"assistantProfessor";"armouring chemotherapies ";0
8071;"fullProfessor";"mantlet ";0
8072;"associateProfessor";"captions terminating laboratories ";0
8073;"assistantProfessor";"radiotelegraphs rowdiest scarfing ";0
8081;"fullProfessor";"embouchures loadings joist ";0
8082;"associateProfessor";"unctuosity carousingly plankings ";0
8083;"assistantProfessor";"rhetors nudniks ";0
8092;"associateProfessor";"games ";0
8093;"assistantProfessor";"electrocuting enwrap ";0
8102;"associateProfessor";"toters clarifiers ";0
8103;"assistantProfessor";"coitus egomaniac subphylum ";0
9001;"fullProfessor";"fungicides ceding ";9
9002;"associateProfessor";"gabardines ";0
9003;"assistantProfessor";"throwing ";0
9011;"fullProfessor";"bruskly barnstormed gusting ";0
9012;"associateProfessor";"lemmings trisects ";0
9013;"assistantProfessor";"reappraising ";0
9021;"fullProfessor";"soughing ";0
9022;"associateProfessor";"bops crowbars inconvertibilities ";0
9023;"assistantProfessor";"jeopardous ";0
9031;"fullProfessor";"vagueness precessions ";0
9032;"associateProfessor";"disarmers eschewer ";0
9033;"assistantProfessor";"follower capybaras dazes ";0
9041;"fullProfessor";"outdrew ";0
9042;"associateProfessor";"warmheartedness lumpiest loveless ";0
9043;"assistantProfessor";"confederative plashiest parasitization ";0
9051;"fullProfessor";"hampshiremen swoopers ";0
9052;"associateProfessor";"anointments plutonism ";0
9053;"assistantProfessor";"spinate despiteful ";0
9061;"fullProfessor";"viscid ";0
9062;"associateProfessor";"salinas gainsay ";0
9063;"assistantProfessor";"sufferable ";0
9072;"associateProfessor";"palpability rankles racetracks ";0
9073;"assistantProfessor";"procuress meads atriums ";0
9082;"associateProfessor";"shiftily devisers ";0
9083;"assistantProfessor";"discernment concisest ";0
9092;"associateProfessor";"distractedly intertangling earlships ";0
9093;"assistantProfessor";"occupationally gloamings cashbooks ";0
9103;"assistantProfessor";"ratable trays bowleg ";0
10001;"fullProfessor";"hajis incinerated summarization ";0
10002;"associateProfessor";"arabians ";0
10003;"assistantProfessor";"reaccustoming resealed ";0
10011;"fullProfessor";"diadems ";0
10012;"associateProfessor";"ikebana ";0
10013;"assistantProfessor";"cutlases cerated racecourse ";0
10021;"fullProfessor";"defecating metricizing ";0
10022;"associateProfessor";"chaperoning causeys sacked ";0
10023;"assistantProfessor";"redbugs loudens ";0
10031;"fullProfessor";"cycads ab chancellorship ";0
10032;"associateProfessor";"closeted foozlers ";0
10033;"assistantProfessor";"phototrophic horrors dragooning ";0
10041;"fullProfessor";"infirms ";0
10042;"associateProfessor";"estranges ";0
10043;"assistantProfessor";"sources spirally ";0
10051;"fullProfessor";"binding hexylresorcinol tonger ";10
10052;"associateProfessor";"galvanometric cholla segue ";0
10053;"assistantProfessor";"snowslide loathsomely trashily ";0
10061;"fullProfessor";"junketing ";0
10062;"associateProfessor";"fifers implorer ";0
10063;"assistantProfessor";"saggiest footy needles ";0
10072;"associateProfessor";"annotator ";0
10073;"assistantProfessor";"quiveringly ";0
10082;"associateProfessor";"digamy ";0
10083;"assistantProfessor";"wartimes privets flashforwards ";0
10092;"associateProfessor";"cognises girlfriends ampulla ";0
10093;"assistantProfessor";"phasic hoarier gristle ";0
10102;"associateProfessor";"undesigned unacceptably ";0
10103;"assistantProfessor";"interludes precipices overweigh ";0
11001;"fullProfessor";"chiders solvency switchable ";0
11002;"associateProfessor";"sidepieces stockbrokerage ";0
11003;"assistantProfessor";"cloisonne legionaries physics ";0
11011;"fullProfessor";"elasticizes prearming planish ";11
11012;"associateProfessor";"oilier reglazed ";0
11013;"assistantProfessor";"unexpressive webless ";0
11021;"fullProfessor";"babies ";0
11022;"associateProfessor";"ulceration ";0
11023;"assistantProfessor";"frustration fissioning ";0
11031;"fullProfessor";"pharisaically constitutes philharmonics ";0
11032;"associateProfessor";"repatriating reproducers ";0
11033;"assistantProfessor";"spinally ";0
11041;"fullProfessor";"mineralize rosets ";0
11042;"associateProfessor";"ploying editorship razee ";0
11043;"assistantProfessor";"sherif ";0
11051;"fullProfessor";"dissepimental hominy softy ";0
11052;"associateProfessor";"implicitness ";0
11053;"assistantProfessor";"deforests ";0
11061;"fullProfessor";"typographies richest wisconsinites ";0
11062;"associateProfessor";"withdrawer ";0
11063;"assistantProfessor";"stringiness electrocute shunners ";0
11071;"fullProfessor";"jessed ";0
11072;"associateProfessor";"misbills blackjacked sequences ";0
11073;"assistantProfessor";"cabmen ";0
11082;"associateProfessor";"doused ";0
11083;"assistantProfessor";"verdantly bleakish novelization ";0
11092;"associateProfessor";"photophobia ";0
11093;"assistantProfessor";"obeahs mainframe redecorated ";0
11102;"associateProfessor";"modulative originally satyric ";0
11103;"assistantProfessor";"rapturousness rooty cloyed ";0
11112;"associateProfessor";"piped ";0
11122;"associateProfessor";"mashes ";0
11132;"associateProfessor";"holistic ";0
12001;"fullProfessor";"essayists bottles trusser ";0
12002;"associateProfessor";"linnet artistries progenitors ";0
12003;"assistantProfessor";"distorter unripely ";0
12011;"fullProfessor";"truer ";0
12012;"associateProfessor";"freeload wheelman ";0
12013;"assistantProfessor";"coalitionist ";0
12021;"fullProfessor";"mongeese reeling ";12
12022;"associateProfessor";"condescended monocled ";0
12023;"assistantProfessor";"tortuously ";0
12031;"fullProfessor";"sawbucks ";0
12032;"associateProfessor";"charbroils domineers ";0
12033;"assistantProfessor";"grayest ";0
12041;"fullProfessor";"preoccupied decimating ";0
12042;"associateProfessor";"tipper saccharinely unarrested ";0
12043;"assistantProfessor";"atypical ";0
12051;"fullProfessor";"birches ";0
12052;"associateProfessor";"kremlinologists ";0
12053;"assistantProfessor";"fearlessly mishaps scuttles ";0
12061;"fullProfessor";"housetop standardbearer lurer ";0
12062;"associateProfessor";"nonresistant restorer citer ";0
12063;"assistantProfessor";"neuropathy precontrive juicer ";0
12071;"fullProfessor";"rufflike streptococcic extirpations ";0
12072;"associateProfessor";"docudramas ";0
12073;"assistantProfessor";"knickerbockers grittily ";0
12081;"fullProfessor";"equates painlessly ";0
12082;"associateProfessor";"impoverisher indianan ";0
12083;"assistantProfessor";"bloodstained ";0
12092;"associateProfessor";"neoterics ";0
12093;"assistantProfessor";"pasteurize empennages inflictive ";0
12102;"associateProfessor";"psychologically daemonic ";0
12103;"assistantProfessor";"howdah yours enravish ";0
13001;"fullProfessor";"secretor birding ";0
13002;"associateProfessor";"roisters oblongata remelted ";0
13003;"assistantProfessor";"secundines ";0
13011;"fullProfessor";"protrudes missort ";0
13012;"associateProfessor";"bares exobiological ";0
13013;"assistantProfessor";"bypassed ";0
13021;"fullProfessor";"prescientific ";0
13022;"associateProfessor";"damager ";0
13023;"assistantProfessor";"productively unprepossessing itemized ";0
13031;"fullProfessor";"statures malls ";0
13032;"associateProfessor";"routeman militiaman ";0
13033;"assistantProfessor";"libeler blackballed biosensor ";0
13041;"fullProfessor";"compared chooses ";0
13042;"associateProfessor";"cosecant sleeping ";0
13043;"assistantProfessor";"infinitesimally gallingly pressor ";0
13051;"fullProfessor";"nippers ";0
13052;"associateProfessor";"epigraphic pinning ";0
13053;"assistantProfessor";"subassociation ";0
13061;"fullProfessor";"freeloading hackled aphoristic ";0
13062;"associateProfessor";"blackbirds editorialization ";0
13063;"assistantProfessor";"crookeries ";0
13071;"fullProfessor";"ceca emerging ";13
13072;"associateProfessor";"heaving intransigently ";0
13073;"assistantProfessor";"browniest ";0
13082;"associateProfessor";"antidepressants ";0
13083;"assistantProfessor";"blanker nectarines ";0
13092;"associateProfessor";"rows ";0
13093;"assistantProfessor";"whitefish zoning ";0
13102;"associateProfessor";"conditionals preexaminations lessons ";0
13103;"assistantProfessor";"woozy trameled ";0
13112;"associateProfessor";"kinematograph ";0
13122;"associateProfessor";"genitors misjudgment ";0
13132;"associateProfessor";"launcher bednights murmuring ";0
14001;"fullProfessor";"seiners samoan hispanics ";0
14002;"associateProfessor";"malawians phonogrammic ";0
14003;"assistantProfessor";"waterpower arthritic ";0
14011;"fullProfessor";"outdistances nettlers ";0
14012;"associateProfessor";"pancaking tussocky disgorge ";0
14013;"assistantProfessor";"gyving ";0
14021;"fullProfessor";"steppes ";0
14022;"associateProfessor";"benchmarked interrogatories ";0
14023;"assistantProfessor";"fidgeting archimandrite ";0
14031;"fullProfessor";"backwashes ";0
14032;"associateProfessor";"viol ";0
14033;"assistantProfessor";"citer shreds moonset ";0
14041;"fullProfessor";"birthrates ";0
14042;"associateProfessor";"husk recapturing ";0
14043;"assistantProfessor";"strips expecting devoutness ";0
14051;"fullProfessor";"harborless peopler pointed ";0
14052;"associateProfessor";"draggier ";0
14053;"assistantProfessor";"leverets soupiest truncates ";0
14061;"fullProfessor";"legislators custodians obeyer ";14
14062;"associateProfessor";"mailers spurning progovernment ";0
14063;"assistantProfessor";"preplanning ";0
14072;"associateProfessor";"exhibitant impeached ";0
14073;"assistantProfessor";"surfaces hefting ";0
14082;"associateProfessor";"rollover ";0
14092;"associateProfessor";"picks tatterdemalion ";0
14102;"associateProfessor";"vertexes worthed ";0
14112;"associateProfessor";"meetings minicar maladies ";0
100001;"fullProfessor";"owns targets unaccented ";0
100002;"associateProfessor";"blurring bursaries hagged ";0
100003;"assistantProfessor";"incorrupted thrushes ";0
100011;"fullProfessor";"progressions unscheduled oxidants ";0
100012;"associateProfessor";"internationalize unpopularly ";0
100013;"assistantProfessor";"packages blacks offers ";0
100021;"fullProfessor";"bickerer scufflers ";0
100022;"associateProfessor";"brigs ";0
100023;"assistantProfessor";"silesia wrecks reformatories ";0
100031;"fullProfessor";"credibility freezes tootlers ";0
100032;"associateProfessor";"midriff vexedly ";0
100033;"assistantProfessor";"aahed ";0
100041;"fullProfessor";"bacteriotoxin baseboards duskily ";0
100042;"associateProfessor";"fleabite oilskin ";0
100043;"assistantProfessor";"earner threnody stearin ";0
100051;"fullProfessor";"teargas disemploying ";100
100052;"associateProfessor";"diebacks sherlocks ";0
100053;"assistantProfessor";"spatially bystanders ";0
100061;"fullProfessor";"homunculi goatfish pixieish ";0
100062;"associateProfessor";"reexhibit ";0
100063;"assistantProfessor";"appendectomies alphabeted ";0
100072;"associateProfessor";"jaybird behaves braids ";0
100073;"assistantProfessor";"bowlines smartest skuas ";0
100082;"associateProfessor";"outers envelopments ";0
100083;"assistantProfessor";"superhighways throatiness hopefulness ";0
100092;"associateProfessor";"pinpointed lunkers ";0
100102;"associateProfessor";"hongkong cymbalists ";0
100112;"associateProfessor";"meetings redried ";0
101001;"fullProfessor";"appalachians ";0
101002;"associateProfessor";"kitharas cubers ";0
101003;"assistantProfessor";"arrestment adjustors ";0
101011;"fullProfessor";"geysers theobromine misalliances ";0
101012;"associateProfessor";"suitably stability thorax ";0
101013;"assistantProfessor";"elates ";0
101021;"fullProfessor";"porter ";0
101022;"associateProfessor";"donuts jugsful ";0
101023;"assistantProfessor";"mopey defunctive ";0
101031;"fullProfessor";"spurts ";0
101032;"associateProfessor";"enlightens racehorses vitalizes ";0
101033;"assistantProfessor";"lassitude enlistee icecap ";0
101041;"fullProfessor";"subofficer ";0
101042;"associateProfessor";"plebiscite petrographer ";0
101043;"assistantProfessor";"christianized ";0
101051;"fullProfessor";"kerchoo trinketed photosphere ";0
101052;"associateProfessor";"bullfighters overslips dewax ";0
101053;"assistantProfessor";"proctored bowingly ichthyisms ";0
101061;"fullProfessor";"isolationism ";0
101062;"associateProfessor";"walkers ";0
101063;"assistantProfessor";"mortuaries colored bisectional ";0
101071;"fullProfessor";"tranquilized blunted ";101
101072;"associateProfessor";"berhymed resound wriggling ";0
101073;"assistantProfessor";"enserfing ";0
101082;"associateProfessor";"disunity melanesians perfuming ";0
101083;"assistantProfessor";"warehousemen ciceros ";0
101092;"associateProfessor";"cottager calicos ";0
101093;"assistantProfessor";"storytelling danseuse minuteness ";0
101102;"associateProfessor";"mouthing indigents ";0
101112;"associateProfessor";"microanalytical regilt damagingly ";0
101122;"associateProfessor";"emoters sortable ";0
101132;"associateProfessor";"antineutron ";0
102001;"fullProfessor";"gardened kebab ";0
102002;"associateProfessor";"resection ";0
102003;"assistantProfessor";"hoplite ";0
102011;"fullProfessor";"greeny disloyalties ";102
102012;"associateProfessor";"suspectedness stamps ";0
102013;"assistantProfessor";"braking listens ";0
102021;"fullProfessor";"profanities ";0
102022;"associateProfessor";"bricky ";0
102023;"assistantProfessor";"reconverts adenoids ";0
102031;"fullProfessor";"seiners disconcerted cumshaws ";0
102032;"associateProfessor";"sententiously ";0
102033;"assistantProfessor";"armed extremeness ";0
102041;"fullProfessor";"indignities huntings restuff ";0
102042;"associateProfessor";"subdued pharyngeal ";0
102043;"assistantProfessor";"lignification boutonnieres noter ";0
102051;"fullProfessor";"haversacks ";0
102052;"associateProfessor";"georgians shit islands ";0
102053;"assistantProfessor";"steepened hematinic ullage ";0
102061;"fullProfessor";"bedamn ";0
102062;"associateProfessor";"ritzier nonego ";0
102063;"assistantProfessor";"unabbreviated ";0
102071;"fullProfessor";"trapeziums paddlings rotator ";0
102072;"associateProfessor";"stenographically cardioids ";0
102073;"assistantProfessor";"overestimate anoraks ";0
102081;"fullProfessor";"versant ";0
102082;"associateProfessor";"nonesuches acknowledgedly ";0
102092;"associateProfessor";"cleanly reeved ";0
102102;"associateProfessor";"gismos ordinarier ";0
102112;"associateProfessor";"housesat draying scoldingly ";0
103001;"fullProfessor";"gentiles ";0
103002;"associateProfessor";"antipole overpopulate closures ";0
103003;"assistantProfessor";"alchemical jumpoffs poseurs ";0
103011;"fullProfessor";"impenetrably cordilleran darneder ";0
103012;"associateProfessor";"pricing rauwolfia ";0
103013;"assistantProfessor";"snippiness scandinavian ";0
103021;"fullProfessor";"filching ";103
103022;"associateProfessor";"enigmas ";0
103023;"assistantProfessor";"dueling individuality ";0
103031;"fullProfessor";"pairings equivalencies homestretches ";0
103032;"associateProfessor";"gelignite grecizes dystrophies ";0
103033;"assistantProfessor";"nexuses ";0
103041;"fullProfessor";"seditiousness sapiently gunned ";0
103042;"associateProfessor";"biased graveled ";0
103043;"assistantProfessor";"reconsider grandee gesticulated ";0
103051;"fullProfessor";"cheapskates ";0
103052;"associateProfessor";"denudes splotching noneducable ";0
103053;"assistantProfessor";"satiny ";0
103061;"fullProfessor";"diasporas ";0
103062;"associateProfessor";"overinsure relishing ungodly ";0
103063;"assistantProfessor";"bogies totemist garrulousness ";0
103071;"fullProfessor";"cosponsored infiltrators ";0
103072;"associateProfessor";"salter ";0
103073;"assistantProfessor";"moderatorship humdinger hackneys ";0
103081;"fullProfessor";"worriment presumptions ";0
103082;"associateProfessor";"stratification ungentlemanly ";0
103083;"assistantProfessor";"samplings swayback unofficiously ";0
103092;"associateProfessor";"espaliered mosaics reinstalling ";0
103093;"assistantProfessor";"bootlicks started ";0
103102;"associateProfessor";"werewolf ";0
103103;"assistantProfessor";"stabilities kaleyards ";0
103112;"associateProfessor";"cesareans stemmy anticlines ";0
103122;"associateProfessor";"wildfowl shush extinction ";0
103132;"associateProfessor";"identifying ";0
104001;"fullProfessor";"delimits obliterating ";0
104002;"associateProfessor";"spendthriftiness ";0
104003;"assistantProfessor";"monochrome needler ";0
104011;"fullProfessor";"twattle ";0
104012;"associateProfessor";"passible assorter converted ";0
104013;"assistantProfessor";"neuralgic dieter estimation ";0
104021;"fullProfessor";"calx ";104
104022;"associateProfessor";"junkie hexer ";0
104023;"assistantProfessor";"restrung softness romances ";0
104031;"fullProfessor";"florescence ";0
104032;"associateProfessor";"cameleer woad ";0
104033;"assistantProfessor";"glanced convoked ";0
104041;"fullProfessor";"lollypop overbakes uncashed ";0
104042;"associateProfessor";"typecasts poorer ";0
104043;"assistantProfessor";"scatterbrains ";0
104051;"fullProfessor";"demonstrative topographic ";0
104052;"associateProfessor";"haft lindens pulsars ";0
104053;"assistantProfessor";"confesses hooter ";0
104061;"fullProfessor";"verite beggars ";0
104062;"associateProfessor";"describing squirmer ";0
